timestamp,drone_1_x,drone_1_y,drone_1_z,drone_1_vx,drone_1_vy,drone_1_vz,drone_1_battery,drone_1_state,drone_1_health,drone_2_x,drone_2_y,drone_2_z,drone_2_vx,drone_2_vy,drone_2_vz,drone_2_battery,drone_2_state,drone_2_health,drone_3_x,drone_3_y,drone_3_z,drone_3_vx,drone_3_vy,drone_3_vz,drone_3_battery,drone_3_state,drone_3_health,drone_4_x,drone_4_y,drone_4_z,drone_4_vx,drone_4_vy,drone_4_vz,drone_4_battery,drone_4_state,drone_4_health,drone_5_x,drone_5_y,drone_5_z,drone_5_vx,drone_5_vy,drone_5_vz,drone_5_battery,drone_5_state,drone_5_health,formation_error,mission_state,mission_progress
1779451713.8998322,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,IDLE,0.0
1779451714.070697,0.0,0.0,1.0,0.0,0.0,0.0,100.0,DISARMED,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,9.685040473937988,IDLE,0.0
1779451714.1052814,0.0,0.0,1.0,0.0,0.0,0.0,100.0,DISARMED,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,9.685040473937988,IDLE,0.0
1779451714.2464993,0.0,0.0,1.0,0.0,0.0,0.0,100.0,DISARMED,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,9.685040473937988,IDLE,0.0
1779451714.484844,0.0,0.0,1.0,0.0,0.0,0.0,100.0,DISARMED,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,9.685040473937988,IDLE,0.0
1779451714.6026063,0.0,0.0,1.0,0.0,0.0,0.0,100.0,DISARMED,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,9.685040473937988,IDLE,0.0
1779451714.734199,0.0,0.0,1.0,0.0,0.0,0.0,100.0,DISARMED,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,9.685040473937988,IDLE,0.0
1779451715.1381369,0.0,0.0,1.0,0.0,0.0,0.0,100.0,DISARMED,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,9.685040473937988,IDLE,0.0
1779451715.210913,0.0,0.0,1.0,0.0,0.0,0.0,100.0,DISARMED,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,9.685040473937988,IDLE,0.0
1779451715.3191867,0.0,0.0,1.0,0.0,0.0,0.0,100.0,DISARMED,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,UNKNOWN,1,9.685040473937988,IDLE,0.0
